grid_size,n_agents,n_preys,max_steps,win_rate
12,5,4,100,0.8
12,5,4,100,0.8333333333333334
12,4,2,100,0.9333333333333333
10,4,2,100,1.0
7,4,2,100,1.0
6,4,2,100,0.9666666666666667
10,4,2,100,1.0
8,4,2,100,1.0
9,4,2,100,0.9666666666666667
11,4,2,100,1.0
15,4,2,100,0.7
20,4,2,100,0.26666666666666666
17,4,2,100,0.5333333333333333
25,4,2,100,0.26666666666666666
13,4,2,100,0.8666666666666667
14,4,2,100,0.8333333333333334
20,5,2,100,0.5666666666666667
20,6,2,100,0.4666666666666667
20,7,2,100,0.5
20,8,2,100,0.5333333333333333
20,10,2,100,0.6333333333333333
20,12,2,100,0.5666666666666667
25,12,2,100,0.3
15,5,2,100,0.6333333333333333
15,4,2,100,0.8
15,5,2,100,0.8
15,6,2,100,0.9
15,7,2,100,0.7666666666666667
15,7,2,100,0.8
15,8,2,100,0.6333333333333333
15,10,2,100,0.7333333333333333
20,6,2,100,0.4666666666666667
20,6,2,100,0.3333333333333333
10,3,2,100,0.9666666666666667
10,2,2,100,0.7333333333333333
10,2,2,100,0.5
10,2,2,100,0.7333333333333333
10,4,2,100,0.9333333333333333
10,4,2,100,0.9666666666666667
10,4,2,100,1.0
10,4,3,100,0.9
10,4,4,100,0.9
10,4,5,100,0.9
10,4,6,100,0.8
10,4,2,100,0.8
10,4,4,50,0.5666666666666667
10,4,5,50,0.5
10,4,8,50,0.25
10,4,7,50,0.35
10,4,7,100,0.85
10,4,8,100,0.85
10,4,8,30,0.0
12,4,8,30,0.0
12,4,8,100,0.45
12,4,8,50,0.0
10,4,8,50,0.3
10,4,8,30,0.0
7,4,4,50,1.0
7,4,4,50,1.0
10,4,4,50,0.8
10,4,4,50,0.6
10,4,4,50,1.0
10,4,4,50,1.0
10,4,6,50,0.2
12,4,6,50,0.0
12,4,5,35,0.0
12,4,5,35,0.6
12,4,4,35,0.6
12,4,4,35,0.2
12,4,4,35,0.2
10,4,4,35,0.8
12,4,4,35,0.4857142857142857
12,4,4,25,0.2857142857142857
12,4,4,35,0.5142857142857142
