trained_model,grid_size,n_agents,n_preys,max_steps,win_rate
"7x7_4_4",7,4,2,100,1.0
"7x7_4_4",11,4,2,100,0.94
"7x7_4_4",11,6,2,100,0.9
"7x7_4_4",11,8,2,100,0.96
"7x7_4_4",11,10,2,100,0.98
"7x7_4_4",11,12,2,100,0.96
"7x7_4_4",11,14,2,100,0.96
"7x7_4_4",11,16,2,100,0.96
"7x7_4_4",13,4,2,100,0.7
"7x7_4_4",13,6,2,100,0.82
"7x7_4_4",13,8,2,100,0.86
"7x7_4_4",13,10,2,100,0.88
"7x7_4_4",13,12,2,100,0.88
"7x7_4_4",13,14,2,100,0.92
"7x7_4_4",13,16,2,100,0.86
"7x7_4_4",15,4,2,100,0.6
"7x7_4_4",15,6,2,100,0.6
"7x7_4_4",15,8,2,100,0.7333333333333333
"7x7_4_4",15,10,2,100,0.76
"7x7_4_4",15,12,2,100,0.82
"7x7_4_4",15,14,2,100,0.74
"7x7_4_4",15,16,2,100,0.68
"7x7_4_4",20,4,2,100,0.36666666666666664
"7x7_4_4",20,6,2,100,0.36666666666666664
"7x7_4_4",20,8,2,100,0.36
"7x7_4_4",20,10,2,100,0.32
"7x7_4_4",20,12,2,100,0.42
"7x7_4_4",20,14,2,100,0.5
"7x7_4_4",20,16,2,100,0.42
"7x7_4_4",25,4,2,100,0.14
"7x7_4_4",25,6,2,100,0.26
"7x7_4_4",25,8,2,100,0.32
"7x7_4_4",25,10,2,100,0.38
"7x7_4_4",25,12,2,100,0.36
"7x7_4_4",25,14,2,100,0.4
"7x7_4_4",25,16,2,100,0.34
"10x10_4_4",7,4,2,100,1.0
"10x10_4_4",7,6,2,100,1.0
"10x10_4_4",7,8,2,100,1.0
"10x10_4_4",7,10,2,100,1.0
"10x10_4_4",7,12,2,100,1.0
"10x10_4_4",11,4,2,100,1.0
"10x10_4_4",11,6,2,100,1.0
"10x10_4_4",11,8,2,100,0.98
"10x10_4_4",11,10,2,100,1.0
"10x10_4_4",11,12,2,100,0.98
"10x10_4_4",11,14,2,100,0.94
"10x10_4_4",11,16,2,100,1.0
"10x10_4_4",15,4,2,100,0.8
"10x10_4_4",15,6,2,100,0.82
"10x10_4_4",15,8,2,100,0.84
"10x10_4_4",15,10,2,100,0.88
"10x10_4_4",15,12,2,100,0.96
"10x10_4_4",15,14,2,100,0.88
"10x10_4_4",15,16,2,100,0.8
"10x10_4_4",25,4,2,100,0.24
"10x10_4_4",25,6,2,100,0.32
"10x10_4_4",25,8,2,100,0.28
"10x10_4_4",25,10,2,100,0.22
"10x10_4_4",25,12,2,100,0.46
"10x10_4_4",25,14,2,100,0.38
"10x10_4_4",25,16,2,100,0.3
"10x10_4_4",20,4,2,100,0.5
"10x10_4_4",20,6,2,100,0.42
"10x10_4_4",20,8,2,100,0.52
"10x10_4_4",20,10,2,100,0.56
"10x10_4_4",20,12,2,100,0.56
"10x10_4_4",20,14,2,100,0.44
"10x10_4_4",20,16,2,100,0.48
"c_10x10_5_2",25,4,2,100,0.24
"c_10x10_5_2",25,6,2,100,0.46
"c_10x10_5_2",25,8,2,100,0.78
"c_10x10_5_2",20,4,2,100,0.44
"c_10x10_5_2",20,6,2,100,0.9
"c_10x10_5_2",20,8,2,100,0.9
"c_10x10_5_2",15,4,2,100,0.86
"c_10x10_5_2",15,6,2,100,0.98
"c_10x10_5_2",15,8,2,100,0.98
"c_10x10_5_2",25,10,2,100,0.8
"c_10x10_5_2",25,12,2,100,0.87
"c_10x10_5_2",20,10,2,100,0.96
"c_10x10_5_2",20,12,2,100,0.96
"c_10x10_5_2",15,10,2,100,1.0
"c_10x10_5_2",15,12,2,100,1.0
"c_10x10_5_2",25,14,2,100,0.92
"c_10x10_5_2",25,16,2,100,0.94
"c_10x10_5_2",20,14,2,100,0.94
"c_10x10_5_2",20,16,2,100,0.96
"c_10x10_5_2",15,14,2,100,0.98
"c_10x10_5_2",15,16,2,100,1.0
"c_10x10_5_2",25,18,2,100,0.94
"c_10x10_5_2",20,18,2,100,0.88
"c_10x10_5_2",15,18,2,100,1.0
"c_10x10_5_2",30,4,2,100,0.13
"c_10x10_5_2",30,6,2,100,0.36
"c_10x10_5_2",30,8,2,100,0.51
"c_10x10_5_2",30,10,2,100,0.53
"c_10x10_5_2",30,12,2,100,0.77
"c_10x10_5_2",30,14,2,100,0.74
"c_10x10_5_2",30,16,2,100,0.72
"c_10x10_5_2",30,18,2,100,0.73
